booking_id,guest_id,booking_date,check_in_date,check_out_date,room_type_id,rate_code_id,channel_id,segment_id,status,total_room_revenue,number_of_rooms,adults_count,children_count
RES-10869,G-1224,2026-03-24,2026-03-28,2026-03-29,RT_SUI,RC_RACK,CH_WALK,Business,Checked-Out,450,1,2,1
RES-10930,G-3965,2026-03-02,2026-03-28,2026-04-02,RT_OV,RC_PROMO,CH_DIR,Leisure,Checked-Out,1225,1,1,1
RES-11644,G-4731,2026-03-02,2026-03-28,2026-03-31,RT_DK,RC_PROMO,CH_GDS,Leisure,Checked-Out,525,1,1,0
RES-12270,G-1619,2026-03-28,2026-03-28,2026-03-30,RT_SUI,RC_CORP,CH_OTA,Business,Checked-Out,720,1,2,1
RES-12595,G-4526,2026-01-22,2026-03-28,2026-04-04,RT_DK,RC_RACK,CH_DIR,Leisure,Checked-Out,1750,1,2,1
RES-12984,G-1392,2026-01-29,2026-03-28,2026-04-03,RT_SQ,RC_PROMO,CH_WALK,Leisure,Checked-Out,630,1,2,1
RES-13008,G-4926,2026-03-27,2026-03-28,2026-03-30,RT_SUI,RC_CORP,CH_DIR,Business,Checked-Out,720,1,2,0
RES-16340,G-1639,2026-01-15,2026-03-28,2026-04-01,RT_DK,RC_PROMO,CH_DIR,Leisure,Checked-Out,700,1,1,0
RES-16659,G-2117,2026-03-09,2026-03-28,2026-03-29,RT_SUI,RC_NONREF,CH_GDS,Group,Checked-Out,382.5,1,1,0
RES-17203,G-1840,2026-03-15,2026-03-28,2026-03-29,RT_OV,RC_PROMO,CH_WALK,Transient,Checked-Out,245,1,1,1
RES-17558,G-4977,2026-02-22,2026-03-28,2026-04-04,RT_SQ,RC_RACK,CH_DIR,Leisure,Checked-Out,1050,1,2,1
RES-17662,G-4672,2026-03-28,2026-03-28,2026-03-29,RT_SUI,RC_CORP,CH_OTA,Business,No-Show,0,1,2,0
RES-17746,G-2574,2026-03-05,2026-03-28,2026-03-30,RT_DK,RC_PROMO,CH_GDS,Group,Checked-Out,350,1,2,0
RES-17748,G-1779,2026-03-19,2026-03-28,2026-03-30,RT_OV,RC_NONREF,CH_CORP,Group,Checked-Out,595,1,2,1
RES-17752,G-3713,2026-03-04,2026-03-28,2026-03-31,RT_DK,RC_AAA,CH_CORP,Wholesale,Checked-Out,675,1,2,1
RES-17956,G-2124,2026-01-20,2026-03-28,2026-04-04,RT_SUI,RC_PROMO,CH_WALK,Leisure,Checked-Out,2205,1,2,1
RES-18362,G-2664,2026-03-24,2026-03-28,2026-03-30,RT_DK,RC_CORP,CH_CORP,Business,Checked-Out,400,1,2,1
RES-18865,G-1573,2026-02-27,2026-03-28,2026-04-02,RT_SQ,RC_PROMO,CH_OTA,Leisure,Checked-Out,525,1,2,1
RES-18895,G-4986,2026-03-22,2026-03-28,2026-04-01,RT_SQ,RC_AAA,CH_CORP,Transient,Confirmed,540,1,2,0
RES-18963,G-2221,2026-03-23,2026-03-28,2026-04-01,RT_OV,RC_RACK,CH_WALK,Group,Checked-Out,1400,1,1,0
RES-19344,G-4240,2026-02-20,2026-03-28,2026-04-03,RT_SQ,RC_PROMO,CH_WALK,Leisure,Checked-Out,630,1,1,1
RES-19345,G-3569,2026-02-03,2026-03-28,2026-04-03,RT_OV,RC_PROMO,CH_OTA,Leisure,Cancelled,0,1,1,1
RES-19496,G-4837,2026-03-14,2026-03-28,2026-04-02,RT_SUI,RC_RACK,CH_WALK,Leisure,Checked-Out,2250,1,2,0
RES-19576,G-1328,2026-01-13,2026-03-28,2026-04-02,RT_SQ,RC_PROMO,CH_GDS,Leisure,Checked-Out,525,1,1,1
RES-11970,G-2701,2026-03-24,2026-03-27,2026-03-29,RT_DK,RC_CORP,CH_WALK,Business,Cancelled,0,1,1,1
RES-12150,G-1955,2026-03-26,2026-03-27,2026-03-29,RT_SUI,RC_CORP,CH_WALK,Business,Checked-Out,720,1,1,0
RES-12464,G-3545,2026-03-25,2026-03-27,2026-03-29,RT_SUI,RC_CORP,CH_DIR,Business,Checked-Out,720,1,1,1
RES-13307,G-1663,2026-03-26,2026-03-27,2026-03-29,RT_SQ,RC_CORP,CH_WALK,Business,Confirmed,240,1,2,1
RES-13355,G-1601,2026-01-08,2026-03-27,2026-03-31,RT_SUI,RC_PROMO,CH_CORP,Leisure,Checked-Out,1260,1,2,1
RES-13815,G-2682,2026-03-27,2026-03-27,2026-03-28,RT_SUI,RC_RACK,CH_WALK,Business,Checked-Out,450,1,2,0
RES-14273,G-4055,2026-03-22,2026-03-27,2026-03-29,RT_DK,RC_CORP,CH_CORP,Business,Checked-Out,400,1,1,0
RES-14573,G-3459,2026-02-11,2026-03-27,2026-04-01,RT_DK,RC_PROMO,CH_OTA,Leisure,Cancelled,0,1,1,0
RES-14643,G-4639,2026-01-16,2026-03-27,2026-03-31,RT_DK,RC_RACK,CH_WALK,Leisure,No-Show,0,1,1,0
RES-15014,G-3640,2026-03-22,2026-03-27,2026-03-31,RT_SUI,RC_PROMO,CH_OTA,Wholesale,Checked-Out,1260,1,1,0
RES-15134,G-3179,2026-02-03,2026-03-27,2026-03-31,RT_OV,RC_PROMO,CH_OTA,Leisure,Cancelled,0,1,2,0
RES-16133,G-1607,2026-01-18,2026-03-27,2026-04-03,RT_SUI,RC_PROMO,CH_GDS,Leisure,Checked-Out,2205,1,2,1
RES-16528,G-2830,2026-01-15,2026-03-27,2026-04-03,RT_OV,RC_PROMO,CH_OTA,Leisure,Checked-Out,1715,1,1,1
RES-16929,G-1584,2026-03-27,2026-03-27,2026-03-28,RT_SUI,RC_RACK,CH_CORP,Business,Cancelled,0,1,1,1
RES-18663,G-1701,2026-03-27,2026-03-27,2026-03-29,RT_DK,RC_RACK,CH_WALK,Business,Cancelled,0,1,1,0
RES-18700,G-3433,2026-03-02,2026-03-27,2026-03-29,RT_SQ,RC_CORP,CH_GDS,Group,Cancelled,0,1,1,0
RES-10208,G-3305,2026-03-26,2026-03-26,2026-03-28,RT_SQ,RC_CORP,CH_DIR,Business,Checked-Out,240,1,2,1
RES-10875,G-3137,2026-01-31,2026-03-26,2026-03-29,RT_SQ,RC_RACK,CH_DIR,Leisure,Checked-Out,450,1,1,1
RES-11120,G-1116,2026-01-10,2026-03-26,2026-04-02,RT_SUI,RC_PROMO,CH_OTA,Leisure,Confirmed,2205,1,2,1
RES-11169,G-1341,2025-12-29,2026-03-26,2026-04-01,RT_SQ,RC_PROMO,CH_DIR,Leisure,Confirmed,630,1,1,1
RES-11813,G-1674,2026-03-04,2026-03-26,2026-03-27,RT_OV,RC_NONREF,CH_WALK,Transient,Checked-Out,297.5,1,1,1
RES-11934,G-2607,2026-03-26,2026-03-26,2026-03-27,RT_SUI,RC_CORP,CH_WALK,Business,Checked-Out,360,1,1,1
RES-12465,G-3411,2026-03-22,2026-03-26,2026-03-28,RT_SUI,RC_CORP,CH_OTA,Business,Cancelled,0,1,2,0
RES-12792,G-1129,2026-01-22,2026-03-26,2026-03-30,RT_SUI,RC_PROMO,CH_DIR,Leisure,Checked-Out,1260,1,1,1
RES-13199,G-4655,2026-01-15,2026-03-26,2026-03-29,RT_DK,RC_RACK,CH_DIR,Leisure,Checked-Out,750,1,1,1
RES-13352,G-1074,2026-03-14,2026-03-26,2026-03-28,RT_DK,RC_RACK,CH_OTA,Transient,Checked-Out,500,1,1,0
RES-14024,G-4600,2026-02-22,2026-03-26,2026-03-29,RT_OV,RC_PROMO,CH_OTA,Leisure,Checked-Out,735,1,2,0
RES-14496,G-4426,2026-01-22,2026-03-26,2026-03-31,RT_SUI,RC_PROMO,CH_OTA,Leisure,Cancelled,0,1,1,0
RES-14694,G-2681,2026-03-22,2026-03-26,2026-03-28,RT_DK,RC_CORP,CH_DIR,Business,Checked-Out,400,1,2,0
RES-15456,G-2348,2026-03-18,2026-03-26,2026-03-27,RT_SQ,RC_AAA,CH_WALK,Group,Checked-Out,135,1,1,0
RES-16498,G-2998,2026-03-23,2026-03-26,2026-03-27,RT_OV,RC_CORP,CH_CORP,Business,Checked-Out,280,1,2,1
RES-17407,G-2630,2026-03-18,2026-03-26,2026-03-30,RT_OV,RC_AAA,CH_GDS,Transient,Checked-Out,1260,1,1,0
RES-17728,G-2066,2026-03-11,2026-03-26,2026-03-27,RT_OV,RC_RACK,CH_WALK,Group,Checked-Out,350,1,1,1
RES-18075,G-2159,2026-03-05,2026-03-26,2026-03-27,RT_SQ,RC_NONREF,CH_OTA,Group,Confirmed,127.5,1,2,1
RES-18232,G-2019,2026-01-14,2026-03-26,2026-03-31,RT_DK,RC_RACK,CH_DIR,Leisure,Checked-Out,1250,1,2,0
RES-19165,G-1786,2026-03-25,2026-03-26,2026-03-27,RT_DK,RC_CORP,CH_CORP,Business,Checked-Out,200,1,2,0
RES-19363,G-4192,2026-03-10,2026-03-26,2026-03-28,RT_DK,RC_CORP,CH_CORP,Transient,Checked-Out,400,1,1,0
RES-19636,G-3347,2026-02-25,2026-03-26,2026-04-02,RT_SQ,RC_PROMO,CH_CORP,Leisure,Checked-Out,735,1,2,0
RES-10100,G-1773,2026-01-17,2026-03-25,2026-03-30,RT_SUI,RC_PROMO,CH_WALK,Leisure,Checked-Out,1575,1,2,1
RES-12562,G-4225,2026-02-25,2026-03-25,2026-04-01,RT_OV,RC_PROMO,CH_OTA,Leisure,Checked-Out,1715,1,2,0
RES-13905,G-2327,2026-03-20,2026-03-25,2026-03-26,RT_SQ,RC_CORP,CH_WALK,Business,Checked-Out,120,1,2,0
RES-15273,G-2752,2026-03-25,2026-03-25,2026-03-27,RT_OV,RC_CORP,CH_CORP,Business,Cancelled,0,1,2,1
RES-15749,G-2334,2025-12-28,2026-03-25,2026-04-01,RT_DK,RC_RACK,CH_CORP,Leisure,Checked-Out,1750,1,1,1
RES-16218,G-4196,2026-03-16,2026-03-25,2026-03-27,RT_OV,RC_RACK,CH_OTA,Transient,Checked-Out,700,1,1,0
RES-16456,G-4373,2026-03-21,2026-03-25,2026-03-27,RT_SUI,RC_RACK,CH_CORP,Business,Cancelled,0,1,1,0
RES-17142,G-2657,2026-03-03,2026-03-25,2026-03-29,RT_SQ,RC_NONREF,CH_DIR,Group,Checked-Out,510,1,2,1
RES-17944,G-1441,2026-03-20,2026-03-25,2026-03-27,RT_DK,RC_CORP,CH_OTA,Business,Confirmed,400,1,2,0
RES-18195,G-3280,2026-02-05,2026-03-25,2026-03-28,RT_SQ,RC_PROMO,CH_WALK,Leisure,Checked-Out,315,1,1,0
RES-18301,G-3390,2026-01-24,2026-03-25,2026-03-28,RT_SUI,RC_RACK,CH_OTA,Leisure,Checked-Out,1350,1,1,0
RES-18612,G-2146,2026-01-03,2026-03-25,2026-04-01,RT_DK,RC_RACK,CH_GDS,Leisure,Checked-Out,1750,1,2,1
RES-18728,G-2958,2026-01-07,2026-03-25,2026-03-30,RT_SQ,RC_PROMO,CH_GDS,Leisure,Checked-Out,525,1,1,0
RES-19520,G-3257,2026-03-16,2026-03-25,2026-03-26,RT_SUI,RC_NONREF,CH_CORP,Transient,Cancelled,0,1,2,1
RES-10551,G-3756,2026-03-03,2026-03-24,2026-03-27,RT_SUI,RC_NONREF,CH_WALK,Group,Checked-Out,1147.5,1,1,0
RES-10612,G-1434,2026-02-13,2026-03-24,2026-03-31,RT_SQ,RC_PROMO,CH_WALK,Leisure,Checked-Out,735,1,2,0
RES-10838,G-1005,2026-03-22,2026-03-24,2026-03-25,RT_DK,RC_CORP,CH_DIR,Business,Checked-Out,200,1,1,0
RES-10858,G-4097,2026-02-24,2026-03-24,2026-03-28,RT_SUI,RC_PROMO,CH_CORP,Transient,Checked-Out,1260,1,1,0
RES-12199,G-3365,2026-02-28,2026-03-24,2026-03-26,RT_SUI,RC_NONREF,CH_DIR,Transient,Checked-Out,765,1,1,0
RES-12424,G-1735,2026-03-23,2026-03-24,2026-03-26,RT_SQ,RC_CORP,CH_DIR,Business,Checked-Out,240,1,2,1
RES-12822,G-4188,2026-03-20,2026-03-24,2026-03-25,RT_OV,RC_CORP,CH_GDS,Business,Confirmed,280,1,1,1
RES-13827,G-3661,2026-03-14,2026-03-24,2026-03-26,RT_SUI,RC_RACK,CH_WALK,Group,Confirmed,900,1,1,0
RES-14021,G-2572,2026-03-04,2026-03-24,2026-03-27,RT_OV,RC_PROMO,CH_WALK,Leisure,No-Show,0,1,1,0
RES-14613,G-2111,2026-03-04,2026-03-24,2026-03-27,RT_SQ,RC_NONREF,CH_WALK,Group,Checked-Out,382.5,1,1,0
RES-14861,G-3655,2026-01-10,2026-03-24,2026-03-29,RT_OV,RC_RACK,CH_DIR,Leisure,Checked-Out,1750,1,1,1
RES-17337,G-4858,2026-03-23,2026-03-24,2026-03-25,RT_SUI,RC_RACK,CH_WALK,Business,Cancelled,0,1,1,0
RES-18261,G-2181,2026-03-24,2026-03-24,2026-03-25,RT_SQ,RC_RACK,CH_CORP,Business,No-Show,0,1,1,1
RES-18567,G-2098,2026-02-26,2026-03-24,2026-03-27,RT_OV,RC_PROMO,CH_OTA,Leisure,Cancelled,0,1,2,0
RES-19921,G-1018,2026-03-19,2026-03-24,2026-03-28,RT_SQ,RC_CORP,CH_DIR,Group,Checked-Out,480,1,2,1
RES-10933,G-2372,2026-03-09,2026-03-23,2026-03-27,RT_OV,RC_CORP,CH_DIR,Transient,No-Show,0,1,2,1
RES-11307,G-3987,2026-03-21,2026-03-23,2026-03-24,RT_SUI,RC_CORP,CH_WALK,Business,No-Show,0,1,2,1
RES-13271,G-3989,2026-02-28,2026-03-23,2026-03-24,RT_SUI,RC_NONREF,CH_GDS,Group,Checked-Out,382.5,1,1,0
RES-16035,G-4513,2026-02-04,2026-03-23,2026-03-26,RT_OV,RC_PROMO,CH_DIR,Leisure,Confirmed,735,1,1,1
RES-18908,G-1178,2025-12-30,2026-03-23,2026-03-26,RT_DK,RC_RACK,CH_OTA,Leisure,Checked-Out,750,1,1,1
RES-19011,G-3562,2026-02-19,2026-03-23,2026-03-30,RT_DK,RC_RACK,CH_GDS,Leisure,Checked-Out,1750,1,1,1
RES-19857,G-2216,2026-02-02,2026-03-23,2026-03-29,RT_SQ,RC_RACK,CH_WALK,Leisure,Cancelled,0,1,1,1
RES-10006,G-1190,2026-03-20,2026-03-22,2026-03-24,RT_DK,RC_CORP,CH_DIR,Business,Confirmed,400,1,1,1
RES-10059,G-1399,2026-03-07,2026-03-22,2026-03-27,RT_DK,RC_PROMO,CH_CORP,Leisure,Cancelled,0,1,1,1
RES-10249,G-2625,2026-01-25,2026-03-22,2026-03-27,RT_DK,RC_RACK,CH_OTA,Leisure,Cancelled,0,1,1,1
RES-11559,G-2449,2026-03-13,2026-03-22,2026-03-25,RT_SQ,RC_NONREF,CH_WALK,Transient,Cancelled,0,1,1,1
RES-12970,G-2768,2026-03-17,2026-03-22,2026-03-23,RT_SQ,RC_CORP,CH_WALK,Business,Checked-Out,120,1,1,0
RES-13180,G-3743,2026-01-12,2026-03-22,2026-03-26,RT_OV,RC_PROMO,CH_DIR,Leisure,Checked-Out,980,1,1,1
RES-13676,G-2529,2026-03-07,2026-03-22,2026-03-27,RT_DK,RC_PROMO,CH_GDS,Leisure,Cancelled,0,1,2,0
RES-13920,G-3527,2026-02-04,2026-03-22,2026-03-27,RT_SUI,RC_PROMO,CH_WALK,Leisure,Cancelled,0,1,1,0
RES-14576,G-1052,2026-03-17,2026-03-22,2026-03-23,RT_SUI,RC_CORP,CH_DIR,Business,Checked-Out,360,1,2,0
RES-15116,G-1946,2026-03-08,2026-03-22,2026-03-25,RT_DK,RC_CORP,CH_OTA,Group,Cancelled,0,1,1,0
RES-16242,G-3587,2026-03-18,2026-03-22,2026-03-24,RT_OV,RC_RACK,CH_WALK,Business,Checked-Out,700,1,1,0
RES-16586,G-2791,2026-02-22,2026-03-22,2026-03-29,RT_OV,RC_RACK,CH_CORP,Leisure,Cancelled,0,1,1,0
RES-16828,G-4081,2026-01-29,2026-03-22,2026-03-25,RT_OV,RC_PROMO,CH_CORP,Leisure,Cancelled,0,1,2,0
RES-17533,G-4110,2026-03-17,2026-03-22,2026-03-23,RT_SQ,RC_CORP,CH_GDS,Business,Checked-Out,120,1,1,0
RES-17823,G-2077,2026-01-17,2026-03-22,2026-03-27,RT_DK,RC_RACK,CH_CORP,Leisure,Checked-Out,1250,1,2,1
RES-17979,G-2725,2026-01-28,2026-03-22,2026-03-25,RT_SUI,RC_PROMO,CH_WALK,Leisure,Checked-Out,945,1,2,0
RES-18329,G-2378,2026-03-20,2026-03-22,2026-03-23,RT_SQ,RC_CORP,CH_OTA,Business,Cancelled,0,1,2,1
RES-18382,G-3095,2026-03-15,2026-03-22,2026-03-24,RT_SUI,RC_PROMO,CH_WALK,Transient,Checked-Out,630,1,2,0
RES-18402,G-4592,2026-03-19,2026-03-22,2026-03-24,RT_DK,RC_CORP,CH_CORP,Business,Checked-Out,400,1,2,1
RES-18498,G-2749,2026-01-20,2026-03-22,2026-03-27,RT_SUI,RC_RACK,CH_DIR,Leisure,Checked-Out,2250,1,2,1
RES-10277,G-2571,2026-02-05,2026-03-21,2026-03-28,RT_SQ,RC_PROMO,CH_DIR,Leisure,Checked-Out,735,1,2,0
RES-10980,G-2970,2025-12-24,2026-03-21,2026-03-26,RT_OV,RC_RACK,CH_DIR,Leisure,Checked-Out,1750,1,1,0
RES-11038,G-3674,2026-02-28,2026-03-21,2026-03-22,RT_SUI,RC_RACK,CH_GDS,Transient,No-Show,0,1,2,0
RES-11748,G-4930,2026-01-18,2026-03-21,2026-03-26,RT_DK,RC_RACK,CH_CORP,Leisure,Checked-Out,1250,1,2,1
RES-11832,G-3963,2026-03-05,2026-03-21,2026-03-27,RT_SQ,RC_RACK,CH_DIR,Leisure,Cancelled,0,1,2,0
RES-12122,G-3920,2026-02-27,2026-03-21,2026-03-25,RT_SQ,RC_CORP,CH_OTA,Transient,Checked-Out,480,1,1,1
RES-12280,G-2043,2026-03-05,2026-03-21,2026-03-24,RT_OV,RC_CORP,CH_CORP,Wholesale,No-Show,0,1,2,1
RES-12317,G-4923,2026-01-14,2026-03-21,2026-03-26,RT_SQ,RC_RACK,CH_CORP,Leisure,Confirmed,750,1,1,1
